,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
OB,OneBeacon Insurance Group Ltd A,"OneBeacon Insurance Group Ltd provides specialty property and casualty insurance products through independent agencies, regional and national brokers, wholesalers and managing general agencies.",,http://www.onebeacon.com,1.5Bil,0.1Bil,1.2Bil,"1,150",Financial Services,Insurance - Specialty
OMF,OneMain Holdings Inc,"OneMain Holdings Inc is a consumer finance company providing loan products to non-prime customers. Its segments include Consumer and Insurance, Acquisitions and Servicing, and Real Estate.",Cyclical,https://www.onemainfinancial.com,2.7Bil,-31.0Mil,2.9Bil,"11,400",Financial Services,Credit Services
OKS,ONEOK Partners LP,"ONEOK Partners LP is engaged in the gathering, processing, storage and transportation of natural gas in the United States.",Hard,http://www.oneokpartners.com,11.8Bil,0.8Bil,8.2Bil,"2,364",Energy,Oil & Gas Midstream
OKE,ONEOK Inc,"ONEOK Inc is a diversified energy company. Its business segments include Natural Gas Gathering and Processing, Natural Gas Liquids and Natural Gas Pipelines.",Hard,http://www.oneok.com,10.6Bil,0.3Bil,8.2Bil,"2,364",Energy,Oil & Gas Midstream
OOMA,Ooma Inc,"Ooma Inc provides communication solutions and other connected services to small business, home, and mobile users. The Company's hybrid SaaS platform, consisting of its proprietary cloud provides the connectivity and functionality that power its solutions.",Speculative,http://www.ooma.com,0.2Bil,-14.0Mil,97.7Mil,139,Communication Services,Telecom Services
OPY,Oppenheimer Holdings Inc Class A,"Oppenheimer Holdings Inc provides retail securities brokerage, institutional sales & trading, investment banking (corporate & public finance), research, market-making, trust services, mortgage banking & investment advisory & asset management services.",Cyclical,http://www.opco.com,0.2Bil,-2.5Mil,0.9Bil,"3,140",Financial Services,Capital Markets
ORCL,Oracle Corp,"Oracle Corp develops, manufactures, markets, hosts and supports database and middleware software, application software, cloud infrastructure, hardware system including computer server, storage and networking products and related services.",Slow,http://www.oracle.com,163.6Bil,9.0Bil,37.2Bil,"136,000",Technology,Software - Infrastructure
ORAN,Orange SA ADR,"Orange SA operates as a telecommunications operator. The Company offers fixed and mobile communications, data transmission, the Internet and multimedia, mobile telephone services and network services.",,http://www.orange.com,38.4Bil,5.0Bil,43.1Bil,"156,191",Communication Services,Telecom Services
OA,Orbital ATK Inc,"Orbital ATK Inc designs, builds & delivers space, defense & aviation-related systems as a contractor & as a merchant supplier. Its main products include launch vehicles & related propulsion systems; satellites & associated components & services; & others.",Cyclical,http://www.orbitalatk.com,5.0Bil,0.2Bil,2.8Bil,"12,300",Industrials,Aerospace & Defense
ORC,Orchid Island Capital Inc,Orchid Island Capital Inc is a specialty finance company that invests in residential mortgage-backed securities. Its business objective is to provide attractive risk-adjusted total returns to its investors over the long term.,Hard,http://www.orchidislandcapital.com,0.3Bil,30.2Mil,38.9Mil,,Real Estate,REIT - Diversified
OEC,Orion Engineered Carbons SA,Orion Engineered Carbons SA is a producer of carbon black. The product portfolio is divided into the Specialty Carbon and Rubber Carbon Black.,,http://www.orioncarbons.com,1.1Bil,29.1Mil,1.1Bil,"1,525",Basic Materials,Specialty Chemicals
ORN,Orion Group Holdings Inc,"Orion Group Holdings Inc is engaged in civil construction and project management business. It provides civil marine construction services to federal agencies, state and municipal governments and private commercial and industrial customers.",Cyclical,http://www.orionmarinegroup.com,0.3Bil,4.2Mil,0.6Bil,"1,200",Industrials,Engineering & Construction
IX,ORIX Corp ADR,"ORIX Corp provides financial products and services to corporate and retail customers in Japan. Its business segments are Corporate Financial Services, Maintenance Leasing, Real Estate, Investment and Operation, Retail, and Overseas Business.",,http://www.orix.co.jp,21.0Bil,2.2Bil,21.2Bil,"53,892",Financial Services,Credit Services
ORA,Ormat Technologies Inc,"Ormat Technologies Inc is engaged in the geothermal and recovered energy power business. It designs, develops, builds, owns, and operates clean, environmentally friendly geothermal and recovered energy-based power plants.",Classic,http://www.ormat.com,2.3Bil,88.7Mil,0.7Bil,"1,060",Utilities,Utilities - Independent Power Producers
OSK,Oshkosh Corp,"Oshkosh Corp along with its subsidiaries, designs, manufactures and markets specialty vehicles and vehicle bodies.",Cyclical,http://www.oshkoshcorporation.com,4.9Bil,0.2Bil,6.1Bil,"13,300",Industrials,Truck Manufacturing
OR,Osisko Gold Royalties Ltd,"Osisko Gold Royalties Ltd along with its subsidiaries is engaged in acquiring and managing precious metal and other royalties and similar interests in Canada and other parts of the world. Its projects include Canadian Malartic Mine, and Kirkland Lake.",,http://www.osiskogr.com,1.0Bil,28.1Mil,45.7Mil,48,Basic Materials,Gold
OUT,Outfront Media Inc,"Outfront Media Inc provides lessors of advertising space on out-of-home advertising structures & sites in the US, Canada and Latin America. Its portfolio consists of billboard displays, located in metropolitan areas and high-traffic expressways.",Hard,http://www.outfrontmedia.com,3.2Bil,-9.6Mil,1.5Bil,"2,581",Real Estate,REIT - Diversified
OSG,Overseas Shipholding Group Inc A,Overseas Shipholding Group Inc through its subsidiaries owns and operates a fleet of oceangoing vessels engaged in the transportation of liquid cargoes in the international market and the U.S. Flag trades.,High,http://www.osg.com,0.6Bil,-8.9Mil,0.9Bil,890,Industrials,Shipping & Ports
OMI,Owens & Minor Inc,Owens & Minor Inc is a healthcare logistics company that connects the world of medical products to the point of care.,Slow,http://www.owens-minor.com,2.1Bil,0.1Bil,9.8Bil,"8,100",Healthcare,Medical Distribution
OC,Owens-Corning Inc,"Owens-Corning Inc manufactures, fabricates and sells glass reinforcements in the form of fiber. The Company's business segments are Composites, Insulation, and Roofing.",Cyclical,http://www.owenscorning.com,6.1Bil,0.4Bil,5.6Bil,"15,000",Basic Materials,Building Materials
OI,Owens-Illinois Inc,"Owens-Illinois Inc is a manufacturer of glass containers in Europe, North America, Asia Pacific and Latin America. Its main product lines are glass containers for the food and beverage industries.",Cyclical,http://www.o-i.com,3.0Bil,78.0Mil,6.7Bil,"27,000",Consumer Cyclical,Packaging & Containers
OXM,Oxford Industries Inc,"Oxford Industries Inc is an apparel company, which designs, sources, markets and distributes products bearing the trademarks of its company-owned lifestyle brands as well as certain licensed and private label apparel products.",Cyclical,http://www.oxfordinc.com,1.2Bil,59.4Mil,1.0Bil,"5,500",Consumer Cyclical,Apparel Manufacturing
ROYT,Pacific Coast Oil Trust,Pacific Coast Oil Trust is engaged in acquiring and holding net profits and royalty interests in certain oil and natural gas properties located in California for the benefit of the Trust unitholders.,Hard,http://www.pacificcoastoiltrust.com,47.5Mil,1.0Mil,1.8Mil,,Energy,Oil & Gas E&P
PACD,Pacific Drilling SA,Pacific Drilling SA is an international offshore drilling contractor committed to becoming the preferred provider of ultra-deepwater drilling services to the oil and natural gas industry through the use of high-specification rigs.,,http://www.pacificdrilling.com,80.7Mil,-7.7Mil,0.9Bil,947,Energy,Oil & Gas Drilling
PCG,PG&E Corp,"PG&E Corp engages in the businesses of electricity and natural gas distribution, electricity generation, procurement, and transmission, and natural gas procurement, transportation, and storage.",Classic,http://www.pgecorp.com,29.5Bil,0.8Bil,17.1Bil,"23,000",Utilities,Utilities - Regulated Electric
PKG,Packaging Corp of America,"Packaging Corp of America is a producer of container board and corrugated products in the United States. The Company also produces multi-color boxes and displays, as well as meat boxes and wax-coated boxes for the agricultural industry.",Cyclical,http://www.packagingcorp.com,8.2Bil,0.4Bil,5.7Bil,"13,000",Consumer Cyclical,Packaging & Containers
PANW,Palo Alto Networks Inc,"Palo Alto Networks Inc offers enterprise network security through its platform that allows enterprises, service providers, and government entities to secure their organizations by safely enabling applications running on their networks.",Speculative,http://www.paloaltonetworks.com,14.7Bil,-225.9Mil,1.4Bil,"3,795",Technology,Software - Application
PAM,Pampa Energia SA ADR,"Pampa Energia SA generates, transmits and distributes electric power. The Company distributes electricity to residential, commercial, and industrial customers.",,http://www.pampaenergia.com,2.3Bil,69.0Mil,1.3Bil,"6,325",Utilities,Utilities - Regulated Electric
P,Pandora Media Inc,"Pandora Media Inc provides internet radio services on smartphones, tablets, traditional computers and car audio systems, as well as other internet-connected devices.",Speculative,http://www.pandora.com,2.6Bil,-272.4Mil,1.3Bil,"2,219",Consumer Cyclical,Broadcasting - Radio
PHX,Panhandle Oil and Gas Inc Class A,"Panhandle Oil and Gas Inc is engaged in the acquisition, management and development of oil and natural gas properties, including wells located on the its mineral and leasehold acreage.",Hard,http://www.panhandleoilandgas.com,0.4Bil,-11.9Mil,42.4Mil,21,Energy,Oil & Gas E&P
PAR,PAR Technology Corp,"PAR Technology Corp is a provider of hospitality technology solutions, applied technology and technical outsourcing services.",Slow,http://www.partech.com,82.5Mil,1.5Mil,0.2Bil,"1,010",Technology,Software - Application
PGRE,Paramount Group Inc,"Paramount Group Inc is a fully-integrated real estate company. It is engaged in owning, operating & managing Class A office properties in select central business district, or CBD, submarkets of New York City, Washington, D.C. & San Francisco.",Distressed,http://www.paramount-group.com,3.4Bil,5.5Mil,0.7Bil,319,Real Estate,REIT - Office
PKE,Park Electrochemical Corp,"Park Electrochemical Corp develops, manufactures, markets and sells digital and radio frequency microwave printed circuit materials products for the telecommunications and internet infrastructure and high-end computing markets.",Cyclical,http://www.parkelectro.com,0.4Bil,13.6Mil,0.1Bil,451,Technology,Semiconductor Equipment & Materials
PKD,Parker Drilling Co,"Parker Drilling Co provides contract drilling and drilling-related services and rental tools. Its business segments include Rental Tools, U.S. Barge Drilling, U.S. Drilling, International Drilling, and Technical Services.",Hard,http://www.parkerdrilling.com,0.2Bil,-217.5Mil,0.5Bil,"2,567",Energy,Oil & Gas Equipment & Services
PH,Parker Hannifin Corp,"Parker Hannifin Corp is a diversified manufacturer of motion and control technologies and systems, providing precision engineered solutions for mobile, industrial and aerospace markets.",Cyclical,http://www.phstock.com,18.2Bil,0.8Bil,11.2Bil,"48,950",Industrials,Diversified Industrials
PE,Parsley Energy Inc A,"Parsley Energy Inc is an independent oil & natural gas company. The Company is engaged in acquisition, development & exploitation of unconventional oil & natural gas reserves in the Permian Basin.",Hard,http://www.parsleyenergy.com,7.2Bil,-58.7Mil,0.4Bil,212,Energy,Oil & Gas E&P
PRTY,Party City Holdco Inc,"Party City Holdco Inc is a party goods retailer in North America. It designs, manufactures, contracts for manufacture and distributes party goods, including paper and plastic tableware, metallic and latex balloons, accessories, novelties and among others.",Cyclical,http://www.partycity.com,2.0Bil,0.1Bil,2.3Bil,"18,231",Consumer Cyclical,Specialty Retail
